1.938,2.5113,1.9011,1.8036,2.1646,2.2207,2.0142,1.99,2.193,2.1577
2.2766,2.474,2.5079,2.2225,1.8819,2.1523,2.1722,2.2936,1.301,1.7951
2.7857,2.818,2.4186,2.6706,2.9686,3.1728,2.6783,2.8273,2.8083,3.1229
2.0612,2.2502,2.5925,2.1774,2.3578,2.3525,1.9801,2.2419,1.9488,2.2318
2.2727,2.4818,2.027,2.5456,2.7809,2.6312,2.3578,2.2823,2.5584,2.5148
1.6088,2.0351,1.8593,1.7815,1.9841,2.019,1.7045,1.8385,1.876,1.8087
2.1021,1.9342,1.7516,1.914,2.047,2.2028,1.9247,1.8049,1.6434,2.1995
1.3835,1.7366,1.3922,1.301,1.6798,1.6034,1.301,1.3918,1.3663,1.6616
1.8095,2.1322,1.7151,1.8503,1.8652,2.2342,1.8652,1.982,1.6769,2.0621
1.968,2.2612,1.6895,1.9621,2.2283,2.4126,1.9219,2.1485,1.9599,2.3145
2.1576,1.8638,2.1381,2.0431,2.0586,2.3755,2.1379,2.0431,1.6108,2.3759
2.1108,2.1546,1.8088,1.6002,1.8778,2.2046,1.7671,2.018,1.9374,2.445
2.1094,2.2037,1.8662,1.5798,1.9732,2.3558,1.7886,2.0647,1.8872,2.4881
2.0743,2.0357,1.301,1.5623,1.8976,2.3928,1.7727,2.1248,1.7519,2.0286
2.1623,1.3819,1.301,1.884,1.9948,2.1969,1.6566,2.3603,1.9766,2.5363
1.301,1.8317,1.301,1.6439,1.4313,2.5381,1.89,1.301,1.301,1.301
1.5658,1.7071,1.301,1.602,1.9342,1.9051,1.7671,1.5638,1.652,1.6626
2.3657,2.4179,1.9131,2.3046,1.9046,2.7462,2.522,2.4052,1.3241,2.4275
1.301,1.5039,1.301,1.301,1.513,1.5547,1.4661,1.301,1.301,1.301
2.0426,1.9598,1.7508,1.301,1.911,2.5877,1.301,1.8166,2.1166,1.8273
1.4802,1.5676,1.4415,1.3855,1.7722,1.9051,1.301,1.301,1.6444,1.477
1.5621,1.7868,1.9153,1.4516,1.8049,1.6201,1.301,1.301,1.7641,1.8233
2.2029,2.1415,1.8201,2.0769,2.4328,2.3579,2.0957,2.1445,2.2021,2.2431
